company,complaint_count
Guglielmo and Associates,9
"Ascension Point Recovery Services, LLC",9
TFC Credit Corporation of California,9
"Autovest, L.L.C.",9
EASTERN BANKSHARES INC,9
Academy Mortgage Corporation,9
"Duvera Billing Services, LLC",9
BANCFIRST CORPORATION,9
"National Account Systems of Omaha, LLC",9
KBR INC DBA RASH CURTIS & ASSOCIATES,9
"Valley Collection Service, LLC",9
Abrahamsen Gindin LLC,9
"Certegy Holdings, LLC",9
"FIDELITY CAPITAL HOLDINGS, INC",9
Everest Receivable Services Inc.,9
"CREDIT WORLD SERVICES, INC.",9
QC HOLDINGS INC,9
Mr. Cooper Group Inc.,9
"Sa-Vit Enterprises, Inc.",9
"French Financial, Inc.",9
"Landmark Strategy Group, LLC",9
"Kramer & Frank, P.C.",9
Receivable Solutions LLC,9
"Community Health Investment Company, LLC.",9
"C.Tech Collections, Inc.",9
Pacific Retrieval LLC,9
"Greenlight Financial Technology, Inc",9
Business & Professional Collection Service Inc,9
"Law Offices of Robert J. Colclough, III",9
"Lewis, McDonnell & Associates",9
Credit One LLC,9
"Securus J Holdings, LLC",9
"North State Acceptance, LLC",9
American Recovery Service Incorporated,9
Western Management Consultants,9
"United Check Recovery Bureau, Inc.",9
"Arcadia Holdings, LLC",8
"Access Credit Management, Inc.",8
"Davis & Jones, LLC",8
"WESBANCO BANK, INC.",8
"R.T.R. Financial Services, Inc.",8
Apple Financing LLC,8
"FCC Finance, LLC",8
"Prog Holdings, Inc.",8
"The Law Offices of Jennifer McCoy, PC",8
Everi Payments Inc.,8
"Denali Capital Holdings, LLC",8
Mullooly Jeffrey Rooney & Flynn,8
Access Receivables of NC Inc.,8
"Arivo Acceptance, LLC",8
"Moss Law Firm, P.C.",8
Pacific Credit Exchange Corporation,8
"CDI Affiliated Services, Inc.",8
PCR Group,8
"Revenue Cycle Associates, Inc.",8
"Constar Financial Services, LLC",8
"eMoneyUSA Holdings, LLC",8
"WHEELS FINANCIAL GROUP, LLC.",8
"UNIFOUR FINANCIAL SERVICES, LLC",8
"CARS Acquisition, LLC",8
Allied Consulting Services LLC,8
"Revenue Enterprises, LLC",8
"LDF Holdings, LLC",8
"LIVE OAK BANCSHARES, INC.",8
"ULRS, Inc.",8
Lendbuzz Inc.,8
FRESNO CREDIT BUREAU,8
Fair Capital,8
"Fein, Such, Kahn & Shepard, P.C.",8
CONRAD CREDIT CORPORATION,8
"Nav Technologies, Inc.",8
BlueChip Financial,8
"COLLECTION ASSOCIATES, LTD.",8
"Sensible Auto Lending, LLC",8
"Schrier, Tolin and Wagman, LLC",8
Lincoln Educational Services Corporation,8
"Lentegrity Management, LLC",8
Credit Card Receivables Fund Incorporated,8
"Kingston Financial, LLC",8
UNITED COMMUNITY BANK,8
Rodenburg LLP,8
The J. G. Wentworth Company,8
21ST MORTGAGE CORP.,8
"CUSTOMERS BANCORP, INC",8
"Accredited Collection Service, Inc.",8
"IDT Telecom, Inc",8
Waterfall Revenue Group,8
"Recovery One, LLC",8
"Hauge Associates, Inc.",8
"Receivables Outsourcing, Inc.",8
TSC Accounts Receivable Solutions,8
HomeServices of Iowa,8
InvestiNet LLC,8
"Ingo Money, Inc.",8
"Talbot, Adams, & Moore, Inc.",8
"Wallace Management Company, LLC",7
"Debt Recovery Solutions of Ohio, Inc.",7
Ascent Holding Co,7
Garrison Investment Group,7
"APPLE FINANCIAL HOLDINGS, INC.",7
ALCAR INC.,7
Knight Adjustment Bureau,7
Renton Collections Inc.,7
"GUARDIAN CAPITAL MANAGEMENT HAWAII, LLC",7
"Commercial Trade, Inc.",7
"GF SunStrong Management Holdings, LLC",7
CARD Corporation,7
"P.S.C., Inc",7
Kubota North America Corporation,7
Advance Bureau of Collections,7
"UNIVERSAL COLLECTION SYSTEMS, INC",7
"PAID IN FULL, INC.",7
"Capstone Capital USA, LLC",7
"URS Holding, LLC",7
Couch Lambert LLC,7
"Porsche Financial Services, Inc.",7
Credee Corporation,7
"Reliable Credit Association, Inc.",7
Lincoln Financial Services,7
First Technology Federal Credit Union,7
"Global Asset Management Group, Inc.",7
"Saturn Systems, Inc",7
"Keynote Consulting, Inc.",7
"Applied Business Services, Inc.",7
"The Thomas Agency, Inc.",7
"FAST AND FAIR COLLECTION SOLUTIONS, LLC",7
"Stuart-Lippman and Associates, Inc",7
Guild Holdings Company,7
Reach Financial LLC,7
"VANDERBILT MORTGAGE & FINANCE, INC",7
Unity Asset Management,7
"Maury Cobb, Attorney at Law, LLC",7
"Zap Solutions, Inc.",7
TOWNEBANK,7
"AA Recovery Solutions, Inc.",7
CARVANT FINANCIAL LLC,7
Huntington Debt Holding LLC,7
QUALITY ACCEPTANCE LLC,7
"Synter Resource Group, LLC.",7
TENET HEALTHCARE CORPORATION,7
Abra,7
DriveTime,7
"Midwest Service Bureau, Inc.",7
WESTERN ALLIANCE BANCORPORATION,7
Hanwha QCells USA Corp,7
Lien Receivables LLC,7
Viva Finance Inc.,7
Lela Mae Portfolio Management Group,7
"Jacob Law Group, PLLC",7
OCEANFIRST FINANCIAL CORP.,7
CrossCountry Mortgage LLC,7
"ORG GC GP BUYER, LLC",7
"Todd, Bremer & Lawson, Inc.",7
"Southern Financial Systems, Inc.",7
"Gordon, Aylworth & Tami, P.C.",7
"Greenberg, Grant & Richards Inc.",7
EA Holdings Corp.,6
"International Debt Buying Consultants, LLC",6
Audit & Adjustment Co. Inc.,6
"Auto Trakk, LLC",6
McKenzie Paul & Associates,6
"Auto Advantage Finance, LLC",6
"NEW WORLD COLLECTIONS, INC.",6
NCSPLUS INCORPORATED,6
"American Credit Bureau, Inc.",6
Statewide Credit Services Corp.,6
"Andrews & Cox, P.C.",6
"Jonathan Neil & Associates, Inc",6
"Accelerated Portfolio, Inc.",6
Quality Asset Recovery LLC,6
Cactus Jacks Auto Sales,6
"Armstrong and Associates, Inc",6
"Main Line Recovery Solutions, Inc.",6
"Malen & Associates, p.c.",6
"RICHLAND HOLDINGS, INC.",6
RC Willey,6
Management Location Services Inc.,6
Chainlink Services LLC,6
"Momnt Technologies, Inc.",6
"Ridge & Valley Realty, Inc.",6
BANKERS HEALTHCARE GROUP LLC,6
"National Consumer Telecom & Utilities Exchange, Inc.",6
"RAS LaVrar, LLC",6
Statebridge Company,6
M1 Holdings Inc.,6
"MILLENNIUM FINANCIAL GROUP, L.L.C.",6
"VIRTUOSO SOURCING GROUP, LLC.",6
DCN Holdings Inc.,6
Ameritan Group Services,6
Smith Debnam Narron Drake Saintsing & Myers LLP,6
Servatus Corporation,6
KeyBridge Medical Revenue Management,6
Obligo Inc.,6
Crow Creek Sioux Tribe,6
"Credit Center, LLC",6
Jana Ferrell & Associates LLC,6
JUSTICE FINANCE COMPANY,6
First Credit Corporation,6
LendingUSA,6
"Buckles & Buckles, P.L.C.",6
Breit Investment,6
Bright Capital Inc,6
Goldcar Lending Inc.,6
"Fay Servicing, LLC",6
Loqbox US Inc,6
"Coast 2 Coast Financial Group, LLC",6
Turning Point Solutions LLC,6
UBS BANK USA,6
"LendKey Technologies, Inc.",6
UNITED AUTO ACCEPTANCE,6
PLAID INC.,6
Pomelo Technology US Inc,6
Carmichael & Frost LLC,6
Opportunity Fund,6
LANIER COLLECTIONS AGENCY AND SERVICES INC,6
"Consuegra & Duffy, P.L.L.C.",6
"CHACON AUTOS, LTD.",6
"GFS, Inc.",6
SOP Pioneer Partners LP,6
"CB1, Inc.",6
Post Lake Lending Inc.,6
"Collection Service, Inc.",6
"Coinme Holdings, Inc.",6
Premier Auto Credit,6
ACCOUNTS ADVOCATE AGENCY,6
"AAS Debt Recovery, Inc.",6
AE Tradings Inc,5
ZuntaFi Corp,5
"Zarzaur and Schwartz, PC",5
Reliant Financial Corporation,5
Independent Savings Plan Co.,5
Hughes Finance,5
"Home Loan Center, Inc.",5
Home Credit Corp. Inc.,5
"Wxw Investments, LLC",5
208 Capital Holdings LLC,5
"iQuantified Management Services, LLC",5
Gatestone & Co. International Inc.,5
"United Resource Systems, Inc",5
"Adela, Inc",5
"Receivable Collection Services, LLC",5
"GMA Investments, LLC",5
LCI Acquisition Inc.,5
"LAKEVIEW LOAN SERVICING, LLC",5
L.B.Gray LLC A Debt Collection Agency,5
"Kovitz Shifrin Nesbit, A Professional Corporation",5
Advantage Financial Service LLC (Idaho),5
"Freeway Funding, Inc.",5
"UHG, LLC",5
"Law Offices of Robert A. Schuerger Co., LPA",5
"Line 5, LLC",5
"Lugano Capital, Inc. d/b/a Start Auto Finance",5
"American Collection Services, Inc. (OK, TX)",5
AmeriCash Holding LLC,5
"Americor Funding, LLC",5
Quick Debt Services LLC,5
"Apoyo Financiero, Inc.",5
"Esusu, Inc.",5
"MSCB, Inc.",5
FIRST ADVANTAGE CORPORATION,5
"Account Managers, Inc.",5
Groundfloor Finance Inc.,5
Elite Recovery Group LLC,5
Texan Credit Corporation,5
"Association Capital Resources, LLC",5
"Mary Jane M. Elliott, P.C. Attorneys At Law",5
"MarkOne Holdings, LLC",5
Marcadis Singer PA,5
McKenzie Management LLC,5
B&B Hold Corp.,5
"Dynamic Collectors, Incorporated",5
TTM GLOBAL ENTERPRISES LLC,5
"Cannon Finance, Inc.",5
River Financial Inc.,5
DreamSpring,5
Midwest Acceptance Corp.,5
MoneySpot USA LLC DBA Sunshine Loans,5
"Modlin Slinsky, P.A.",5
"Durrett Motor Company, Inc.",5
"HOME BANCSHARES, INC.",5
"Debois, Inc.",5
"Data Search NY, Inc.",5
"BDF Partners, PC",5
"Diaz & Associates, Inc.",5
"Nathan & Nathan, P.C.",5
NEW CITY FUNDING CORP.,5
CREDICO. INC,5
"Smith Carroad Wan & Parikh, P.C.",5
"Benuck & Rainey, Inc.",5
"Shermeta Law Group, PLLC",5
RoundPoint Mortgage Servicing LLC,5
Nexum Group Inc,5
"Net Pay Advance, Inc.",5
Blackhawk Network Holdings Inc.,5
"Credit Sesame, Inc.",5
Brown’s New Credit Bureau Inc.,5
"Volvo Car Financial Services U.S., LLC",5
Abbott Osborn Jacobs PLC,5
"JSZ Financial Co., Inc.",5
PERDUE BRANDON FIELDER COLLINS & MOTT LLP,5
"PACIFIC PREMIER BANCORP, INC.",5
Credit Bureau of Northern California Collections Services Inc,5
Credit Bureau Services of Iowa Inc.,5
"CAROLINA FINANCE, LLC",5
"PROVIDENT FINANCIAL SERVICES, INC.",5
"Consolidated Auto Sales, Inc.",5
Columbia Collectors Inc,5
SHABANA MOTORS,5
SET Financial Corporation,5
Paysend US LLC,5
Paylaterr Inc,5
"Collection Management Services, Inc.",5
CITY NATIONAL BANK,5
Red River Credit Corporation,5
Hawk Inc,5
"Gold Star Finance, Inc.",4
"King of Credit Financial, Inc",4
"Risecredit, LLC",4
"GVA Holdings, LLC",4
"Snap Recovery, Inc.",4
"Affirmative Law, PC",4
"Resurgence Legal Group, PC",4
Sound Collection Services,4
"Action Credit, LLC",4
South Mississippi Collection Services Inc.,4
"Kass Shuler, P.A.",4
Southeast Investment Corp,4
"Results Unlimited, Inc.",4
Kentucky Higher Education Assistance Authority,4
"Medical Recovery Services, LLC",4
BROADVIEW MORTGAGE CORPORATION,4
"BQ & Associates, P.C., L.L.O.",4
"Certified Solutions, Inc",4
"Southern Credit Adjusters, Inc.",4
"Financial Freedom Group, LLC",4
Grey Inc,4
"Finkelstein, Kern, Steinberg & Cunningham, PC",4
Oklahoma Motor Credit Company,4
Giggle Finance Inc.,4
"Meade & Associates, Inc.",4
"Lanier Law Firm, LLC",4
Asset Complaint Solutions,4
"Recovery Solutions Group, LLC",4
Astra Business Services,4
Carma Enterprises Inc,4
Northbrook and Associates,4
"Eagle Accounts Group, Inc.",4
Checkbook Inc,4
Fundo LLC,4
Scott Kroner PLC,4
"Fresh Start Funding, LLC",4
"Money Services, Inc., d/b/a Texoma Finance",4
"Mirand Response Systems, Inc.",4
"Apple Law Group, Inc.",4
"AppFolio, Inc.",4
National Management Recovery Corp. (NMRC),4
CHALLENGE FINANCIAL SERVICES,4
CHRISTUS HEALTH,4
CIBC BANCORP USA INC.,4
Thrive National Corporation,4
Deutsche Bank,4
"The Lueder Law Firm, LLC",4
"Butler and Associates, PA",4
STELLAR BANCORP INC.,4
"Miguel A. Maza & Associates, PSC",4
Nala Payments LLC,4
"FirstCredit, Inc.",4
National Check Resolution Inc.,4
"FirstKey Holdings, LLC",4
Allegiant Capital Recovery LLC,4
Georgia Student Finance Authority,4
Robinson & Hoover,4
"FlexShopper, Inc",4
"American 1st Rate Mortgage, LLC",4
CRESCO CAPITAL INC.,4
"California Business Bureau, Inc.",4
"Arnold Scott Harris, P.C.",4
"Troy Capital, LLC",4
Camino Financial Inc.,4
Titan Solutions Group LLC,4
"NY Community Financial, LLC",4
"American Accounts & Advisers, Inc.",4
FB FINANCIAL CORPORATION,4
"HarrisLoftus, PLLC",4
"Harvest Strategy Group, Inc.",4
"Prohealth Care, Inc",4
FEARON FINANCIAL LLC,4
Professional Receivables Network,4
"Cohen & Cohen Law, LLC",4
"WVH, LLC",4
"Walwick, Inc",4
Central Collection Corporation,4
"BCG Equities, LLC",4
Primus Law PC,4
"AMERICAN ADJUSTMENT BUREAU,INC.",4
PRONTO FINANCE INC.,4
Credimatico LLC,4
"Collection Bureau Services, Inc.",4
Houston Finance Co.,4
"Columbia Collection Service, Inc.",4
BIYING Inc,4
Worth Finance Corporation,4
"ID Analytics, Inc.",4
MCMC Auto LTD,4
Payment Resolution Services,4
"Compass Recovery Group, LLC",4
"Healthcare Management, LLC",4
"PayTomorrow, LLC",4
"Collection at Law, Inc. A.P.C.",4
Plastiq Inc.,4
"BCA Financial Services, Inc.",4
"Collection Bureau of Little Falls, Inc.",4
"Vengroff Williams, Inc",4
"Accord Business Funding, LLC",4
"Optimum Outcomes, Inc.",4
"JTM Capital Management, LLC",4
"Exodus Movement, Inc.",4
"Axiom Acquisition Ventures, LLC",4
"Manhattan Beach Venture, LLC",4
"Eastpoint Recovery Group, Inc",4
"Cordoba Legal Group, PLLC.",4
"Overton, Russell, Doerr and Donovan, LLP",4
"Stephen L. Bruce, P.C.",4
"APEX Asset Management, LLC",4
Clearview Resolution Services,4
WEALTHFRONT CORPORATION,4
"Citizens Savings & Loan Corporation, Chattanooga, TN Branch",4
"StellarFinance, Inc.",4
Midwest Finance Corporation,3
FCI Lender Services Inc.,3
"BLINCLOANS, INC.",3
"Scratch Financial, Inc.",3
Evergreen Financial Services Inc.,3
Burke Costanza & Carberry LLP,3
"Ballybunion Enterprises, Inc",3
Medical Business Bureau,3
Discovery Auto Sales LLC,3
BUSEY BANK,3
MISSION FINANCIAL SERVICES CORPORATION,3
"MMG Law Group, PLLC",3
FIRST UNITED BANK AND TRUST COMPANY,3
"BSI Financial Holdings, Inc.",3
"BANKUNITED, NATIONAL ASSOCIATION",3
"Special Financing Company, LLC",3
"Midwest Resale Specialist, Inc.",3
"Dovenmuehle Mortgage, Inc.",3
Bureau of Medical Economics of Santa Clara County,3
"BROKER SOLUTIONS, INC.",3
MEI AUTO FINANCE INC,3
"Dyck-O'Neal, Inc.",3
Michael J Adams PC,3
Stream Auto Outlet,3
Medical Services Inc,3
EXCEL FINANCE COMPANY,3
"Michael Harrison, Attorney at Law",3
"Speed1, Inc",3
Metacorp LLC,3
"Best Account Receivables Management Solutions, LLC",3
Sklar Law LLC,3
"BCI FINANCIAL GROUP, INC.",3
"Slovin & Council Co., L.P.A.",3
"Easy Finance, LLC",3
Entrata Inc.,3
"St John Rossin & Burr, PLLC",3
BEAL FINANCIAL CORPORATION,3
"Sherloq Group, Inc",3
BELMONT FINANCE LLC,3
Markoff Law LLC,3
EDvantage LLC,3
BHA Services,3
"Blackstad, Hrabe, Kirlorsky, LLC",3
Diversified Acceptance Corporation,3
"Silverman Theologou, LLP",3
"ClarityPay, Inc.",3
"Clear Recovery, Inc.",3
"ClearBalance Holdings, LLC",3
"RAB, INC.",3
"RGS Financial, Inc.",3
RMA Credit Association,3
"ROAD Auto Finance, LLC",3
Olympic Collection Inc.,3
"Omni AR, LLC",3
Roberts Markel Weinberg Butler Hailey PC,3
Credit Bureau of Havre,3
"Credit Bureau of Jonesboro, Inc.",3
"Credit Bureau of York, Inc.",3
"Ragan & Ragan, P.C.",3
Rain Technologies Inc.,3
"Chaplin & Papa, P.C.",3
Creditly Corp.,3
"O'Currance, Inc.",3
Credit Lending Services Inc.,3
"Credit Associates, Inc. (MO)",3
"Pettitt & Kimball, PLLC",3
"Pavilion Payments US BuyerCo, LLC",3
"Payactiv, Inc.",3
"Commercial Industries Services Company, Inc.",3
Commonwealth Health Corporation,3
"Heavner, Beyers & Mihlar LLC",3
"Hodosh, Lyon & Hammer, PC",3
"INTER & CO PAYMENTS, INC.",3
"Independent Dealers' Advantage, LLC",3
Circle Internet Financial,3
Continental Credit Control,3
PRANCER CAPITAL CORP,3
"Professional Bureau of Collections of Maryland, Inc., GREENWOOD VILLAGE, CO Branch",3
"Professional Choice Recovery, Inc.",3
Coast to Coast Commercial Collection,3
Profit Services Group,3
"Propel, Inc.",3
"Protas, Spivok & Collins. LLC",3
"PDQ Services, Inc.",3
"Porania, LLC",3
"Riverview Law Office, PLLC",3
Supreme Lending,3
CVB FINANCIAL CORP.,3
Cambrian Group,3
"Rodriguez Fernandez Law Offices, LLC",3
"Rossi Law Offices, Ltd",3
"DLC, LLC",3
"Danco Financial Services, LLC",3
"CREDIT BUREAU OF BISMARCK, INC.",3
"Credit Management Services, Inc.",3
"CLAYTON AUTOS, INC",3
NATIONS LENDING CORPORATION,3
Data Mortgage Inc.,3
"De Lage Landen Finance, LLC",3
SCS Credit Corporation,3
"CERTIFIED COLLECTORS, INC.",3
CEX.IO CORP.,3
"SOFTGATE SYSTEMS, INC.",3
STATE STREET BANK AND TRUST COMPANY,3
"Rubin & Debski, P.A.",3
"Chek Cash, Inc.",3
Centron Services,3
Reese Law Group,3
"Cash Express, LLC",3
"Northern Trust Company, The",3
NowackHoward LLC,3
"O&L LAW GROUP, P.L.",3
"Credit Solutions, LLC (KY)",3
Capital Recovery Corporation,3
River Heights Capital LLC,3
Niagara Central Revenue,3
"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",3
Revenue Cycle Management Corp,3
"DIRECMANAGEMENT, INC.",3
Nationwide Recovery Group LLC,3
"Neighborhood Autos, LLC",3
National Capital Solutions,3
DAS Inc,3
"DApps Platform, Inc.",3
"DCI Credit Services, Inc.",3
CapitalCredit LLC,3
"Global Asset Agency, Inc.",3
Armcon Corp,3
Funding Metrics LLC,3
"Local Management, LLC",3
Gravamen Asset Management Group LLC,3
"Key Debt Recovery, Inc.",3
AAA  LENDERS INC.,3
"TRUEBILL, INC",3
TRINITY HOPE ASSOCIATES,3
"Legacy Customer Management Group, LLC",3
"AAA Auto Title Loans, LLC",3
Yes Online Inc,3
"Atlas Credit Company, Inc.",3
"Vinci Law Office, LLC",3
Lazega & Johanson LLC,3
"Avadyne Health Holdings, Inc",3
"Automotive Leasing Specialists, L.L.C.",3
Tiffany & Tiffany PLLC,3
"AutoStar Finance, Inc - D/B/A Atlanta AutoStar",3
"Lefkoff, Rubin, Gleason, Russo & Williams, P.C.",3
The Cherrington Firm PLLC,3
"First Help Financial, LLC",3
"The Commercial Collection Corporation of New York, Inc.",3
Judgment Acquisitions Unlimited Inc,3
"KAHRS LAW OFFICES, PA",3
"Liberty Career Finance, LLC",3
Hatfield Portfolio Group LLC.,3
The B & F Corporation d/b/a OK Loan Service,3
"Grisham Cummins, LLC",3
"Uprova Credit, LLC",3
AR Solutions Inc,3
ARM Professional Services LLC,3
"Full Circle Financial Services, LLC",3
Team Recovery Inc.,3
WOOD FINANCE INC DBA PREMIER ACCEPTANCE,3
"Atlantic Collection Agency, Inc.",3
Washington Trust Bank Financial Corporation,3
"Arena Investors, LP",3
"We Find Everyone, Inc.",3
"Webcollex, LLC",3
Thornton Mortgage Inc.,3
London & London,3
Lockhart Mediation Services,3
Kompato AI Inc,3
FMS Inc.,3
FLORIDA HOME TRUST MORTGAGE,3
FLAGSHIP FINANCIAL GROUP LLC,3
ABSOLUTE CREDIT  LLC,3
2233 Paradise Road LLC,3
HOME ACCEPTANCE CORPORATION,3
ASTA FUNDING INC.,3
"Alliance Consumer Solutions, Inc",3
Accenture LLP,3
"Advantage Credit, Inc.",3
"Innovative Collections, LLC",3
"FinFit Holding Co, LLC",3
Advanced Recovery Group LLC,3
Turnbull Law Group,3
The Law Offices of Mitchell D. Bluhm & Associates,3
LCB Rent Reporting Ltd.,3
"Acra Intermediate Holdings, LLC",3
"Family Choice Financial, Inc.",3
"Upstate Collection Center, Inc.",3
"Top Asset Solutions, LLC",3
"AUTO MARKET OF FLORIDA, CORP",3
Titanium Funds,3
USForex Inc.,3
XOOM CORPORATION,3
People Trust,3
"Thomas George Associates, Ltd.",3
"Valon Technologies, Inc.",3
"Forsythe Finance, LLC",3
"Hollins & McVay, P.A.",3
Cheadle Law Firm,2
Accelerated Receivables Solutions,2
Grimley Financial Corporation,2
"Accounts Management, Inc",2
"Credit Consulting Services, Inc.",2
Charleston Area Medical Center,2
Champlin & Associates PLLC,2
"Chambless, Math, Carr, P.C.",2
Vantage Point Group,2
Upward Financial Inc.,2
"Value Recovery Holding, LLC",2
"Creditech, Inc.",2
"Ragan & Ragan, PC",2
"Johnstown Credit Bureau, Inc.",2
"Nexum Solutions, LLC",2
Creditor Advocates Inc,2
"Creditors Specialty Northwest, Inc.",2
Credova Holdings Inc,2
"CrossCheck, Inc.",2
"Affiliated Collection Services, LLC",2
Revenue Assistance Corporation dba Revenue Group,2
"Komyatte & Casbon, P.C.",2
Accelerated Servicing Group LLC,2
Ricart Financial Services,2
DEBT CREDIT SERVICES,2
"DIME COMMUNITY BANCSHARES, INC.",2
"Klutch Technologies, Inc.",2
"Go Capital Holdings, LLC",2
"NerdWallet, Inc.",2
Nevada Professional Collections Texas,2
"New Century Financial Services, Inc.",2
"Revenue Systems, Inc.",2
"Castle Credit Co Holdings, LLC, Chicago, IL Branch",2
"Celentano, Stadtmauer & Walentowicz, LLP",2
"Account Recovery Specialists, Inc.",2
"Account Recovery Services, Inc.",2
Recovery Exchange LLC,2
Account Information Management Corporation,2
"United We Collect, Inc.",2
United Revenue Collection Service,2
"Newman, Mathis, Brady & Spedale",2
United Group Inc.,2
North Dakota Housing Finance Agency,2
Advance Loan Service,2
Northwestern Mediation Services,2
Great Lakes Entities,2
Regional Recovery Services,2
"Kenneth, Eisen & Associates, LTD.",2
"Keith D. Weiner & Associates Co., L.P.A.",2
"Kabompo Holdings, Ltd.",2
Carolina's Premier Mortgage Corporation,2
"INTEGRA SERVICING, LLC",2
Wilson Breit,2
"Ignite Revenue, Inc.",2
Imperial Finance Corp,2
ADS Resolve LLC,2
"Ingenuity RM, LLC",2
"Innovate Managed Holdings, LLC",2
"West Law Group, PLLC",2
"Oquirrh Mountain Law Group, P.C.",2
"Portnoy Schneck, L.L.C.",2
"Preferred Collection and Management, Inc.",2
Preferred Finanical Services Corporation,2
"CoinZoom, Inc.",2
ZARVAD III S.A.,2
PRA LAW FIRM,2
"PRIMAVERA FINANCIAL, INC.",2
"A+ Loans, Inc.",2
PROSPER FIRST FUNDING CORPORATION,2
"ACI Worldwide, Corp.",2
"Perry Law Office, P.C.",2
"Persolve, LLC - Legal - Series 2",2
"Integrity Funding Ohio, LLC",2
"Pizer & Associates, P.C.",2
"Peritus Portfolio Services II, LLC",2
"College Ave Student Loan Servicing, LLC",2
Partners for Payment Relief,2
Pathfinder Credit Services,2
"Concorde Auto Management, LLC  DBA  Concorde Auto Acceptance",2
" Lippman Recupero, LLC",2
"Williams, Alexander & Associates, Inc",2
"AMALGAMATED TOKEN SERVICES, INC.",2
"AMA Advisors, LLC.",2
"Intercap Services, LLC",2
"William D. Meeker Enterprises, Inc.",2
"Wheel City Motors East, Inc.",2
"Heritage Financial Group, Inc.",2
High Point Asset Inc,2
"A+ Financial Services, Inc.",2
"Intermex Wire Transfer, LLC",2
"Claims Recovery Systems, Inc.",2
"AMERICAN FINANCIAL MANAGEMENT, INC.",2
WEBULL PAY HOLDINGS (US) INC,2
"New Hampshire Northeast Credit Services, Inc.",2
PACIFIC CAPITAL EXCHANGE,2
"Abaca Mortgage, Inc.",2
Courtesy Finance LLC,2
Pappas Hayden Westberg & Jackson PC,2
AUTOMOBILE ACCEPTANCE CORPORATION,2
"RD Fuller Company, LLC",2
"AUDIT SYSTEMS,INC",2
ATLANTIC PACIFIC MORTGAGE CORP,2
"RN Financial, LLC",2
HOA Collections LLC,2
"JH Portfolio Debt Equities, LLC",2
"Credit Bureau Data, Inc.",2
Credit Bureau Services Inc.,2
Covington Capital Corporation,2
"Paragon Subrogation Services, Inc",2
Prim and Mendheim,2
"Weber & Associates, Inc.",2
ClearPath Recovery Management LLC,2
Coastal Bend Loans,2
APG Financial Inc,2
Hawes Klein LLC,2
"JACKSON & McPHERSON, LLC",2
"Public Title Services, LLC",2
"Investigative Concepts, Inc.",2
CrediautoUSA Financial Company LLC,2
"Island Portfolios Services, LLC",2
Island Finance Puerto Rico,2
"POM Recoveries, Inc.",2
Consumer Financial Services,2
"Quad Corporation, Inc.",2
"Child Support Recovery Services, Inc.",2
Chrebet Associates  LLC,2
"Cianfrone, Nikoloff, Grant, & Greenberg, P.A.",2
"CredCare, LLC",2
The Cadle Company,2
"The Allen Daniel Associates, Inc.",2
"Thaddeus Bechtle Attorney at Law, LPC",2
"Melar Investments, LLC",2
"EVERGREEN PROFESSIONAL RECOVERIES, INC.",2
Terrill Outsourcing Group,2
Earnest Inc.,2
Equitable Acceptance Corp,2
Maury's Motors Inc DBA Midpoint Auto Group,2
"Tsarouhis Law Group, LLC",2
"Meade Recovery Services, LLC",2
Mechoopda Indian Tribe of Chico Rancheria,2
Financial Network Recovery Inc,2
Financial Asset Management Systems Inc,2
"Southwood Financial, LLC.",2
Asset Collections Inc,2
"Ashton & Weinberg, Inc.",2
Ascendium Education Group,2
"BRite Financial Services, Inc.",2
First Class Autos Inc,2
Broadway Account Services,2
"Bizcorp, LLC",2
"Second Round Limited Partnership, Austin, TX Branch",2
Shnayder Law Firm LLC,2
Sir Finance Corp,2
Arco Collection Services LLC,2
Skyline Financial Corp.,2
"Bass & Associates, P.C., Attorneys at Law",2
The Cook Law Office PLLC,2
Solvent Plus LLC,2
"First Service Residential, Nevada, LLC",2
First Pacific Funding Inc.,2
"EAGLE BANCORP, INC.",2
"First National Auto Sales, Inc",2
ENTERPRISE FINANCIAL SERVICES CORP,2
Smith & Smith Investors LTD,2
"Snap Credit, Inc.",2
"First Financial Credit, Inc",2
Solidus Group LLC.,2
Meritize Financial Inc.,2
"Estate Information Services, LLC",2
"Stewart, Zlimen & Jungers, Attorneys, Ltd.",2
"Lost Lake Finance, LLC",2
"BCION, A DIVISION OF ION BANK",2
First Coast Mortgage Funding LLC,2
"MCS CLAIMS SERVICES, INC",2
MAJR Financial Corp,2
MIRACLE FINANCE LTD,2
"M. Richard Epps, P.C.",2
Auto Finance Center,2
ML Mortgage Corp.,2
"Finance System of Green Bay, Inc.",2
"MNE Services, Inc",2
"FIRST FINANCIAL BANKSHARES, INC.",2
"BANC OF CALIFORNIA, INC.",2
"TESORO FINANCIAL, LLC",2
"Szuba & Associates, PLLC",2
SunTx Capital Partners,2
"Superior Holdings, LLC",2
MITSUBISHI HC CAPITAL (U.S.A.) INC.,2
Bank of China USA,2
Auto Buyers Credit LLC,2
Awar Holding Inc.,2
Marine One Acceptance Corporation,2
"Automotive Funding Group, Inc",2
"Specified Credit Association, Inc.",2
"Spero Solutions, Inc.",2
"Spina & Lavelle, P.C.",2
"Splash Financial, Inc.",2
"Esler And Lindie, P.A.",2
"Feldman & Stern, LLC",2
"Lyon Collection Services, Inc",2
