company,complaint_count
SUNCOAST CREDIT UNION,136
"Consumer Portfolio Services, Inc.",136
"Paramount GR Holdings, LLC",134
"Revco Management, LLC",134
"Synerprise Consulting Services, Inc.",133
"Sunbit, Inc.",129
"Williams & Fudge, Inc",128
"Williams, Rush & Associates, LLC",126
"Property Receivables, Corp",126
Diverse Funding Associates LLC,125
Meta Payments Inc.,125
Thaxton Investment Corporation,122
"OPTUM BANK, INC.",122
Credit Fresh Holdings Inc,119
FIRST TECHNOLOGY FEDERAL CREDIT UNION,118
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,117
"Skrill USA, Inc.",116
Payward Ventures Inc. dba Kraken,114
BOEING EMPLOYEES' CREDIT UNION,113
"Ava Finance, Inc",111
CCF Intermediate Holdings LLC,110
VYSTAR CREDIT UNION,108
"Relay Financial (US), Corp.",106
"Sentry Recovery and Collections, Inc.",103
"Reliant Capital Solutions, LLC",102
"AXOS FINANCIAL, INC.",100
"Southwest Recovery Services, Inc.",100
AmeriCollect,100
"FIRST CITIZENS BANCSHARES, INC.",99
NEW YORK COMMUNITY BANCORP INC,98
Regional Management Corporation,98
NISSAN MOTOR ACCEPTANCE COMPANY LLC,97
Kovo,95
Rausch Sturm LLP,94
ZWICKER & ASSOCIATES,94
CCM Finance LLC,94
FIRST HORIZON BANK,94
Starmark Financial LLC,93
"Helvey & Associates, Inc., Warsaw, IN Branch",93
"Carter-Young, Inc.",92
Southern Management Systems Inc.,92
"First Federal Credit Control, Inc.",92
"Dave Operating, LLC",90
Marauder Corporation,90
"CarMax, Inc.",90
Concord Servicing Corporation,90
SG and Associates,90
1st Franklin Financial Corporation,88
"Shellpoint Partners, LLC",86
"GOLDEN 1 CREDIT UNION, THE",85
Revolut Technologies Inc.,85
"Valor Intelligent Processing, LLC",85
SinglePoint GI,84
SLM CORPORATION,83
RANDOLPH-BROOKS FEDERAL CREDIT UNION,82
Credit Service International Corp,82
"EGL US, LLC",82
ALLIANT CREDIT UNION,81
"Kinum, Inc., Indianapolis, IN Branch",81
"Trident Asset Management, L.L.C.",81
"Foris DAX, Inc.",81
Google Compare Credit Cards Inc.,78
MOUNTAIN AMERICA FEDERAL CREDIT UNION,78
"ResidentCollect, Inc.",77
"Tower Loan of Mississippi, Inc.",76
"AR Resources, Inc.",76
CHERRY TECHNOLOGIES INC.,76
"RFNA, LP",76
"Branch Messenger, Inc.",75
"Imprint Payments, Inc.",74
"Monarch Recovery Holdings, Inc.",73
"Client Services, Inc.",73
American Coradius International LLC,73
ZIONS BANCORPORATION,73
"Merchants & Medical Adjustment Bureau, Inc. dba Credit Bureau Associates",73
Bonneville Billing and Collections,72
"Sparrow Financial, Inc.",72
"Rozlin Financial Group, Inc.",72
"Mandarich Law Group, LLP",71
Albert Corporation,71
"Goal Structured Solutions, LLC",70
The Phoenix Recovery Group,70
"F.H. Cann & Associates, Inc.",69
Solar Mosaic LLC,69
Central Research Inc,69
"Crown Asset Management, LLC, Duluth, GA Branch",68
"RS Clark and Associates, Inc.",68
FORD MOTOR CREDIT CO.,67
"Weltman, Weinberg & Reis Co., L.P.A.",66
USCB Corporation,66
Kingston Data & Credit International Inc.,66
Mercury Financial Intermediate LLC,65
"CULLEN/FROST BANKERS, INC.",65
"Meridian Financial Services, Inc.",64
FC HoldCo LLC,64
United PanAm Financial Corp.,63
AMERICAN HONDA FINANCE CORP,63
"Associated Credit Services, Inc.",63
"Receivables Management Partners, LLC",62
"Credit Central Holdings, LLC",62
"Mercury Technologies, Inc.",62
SCHOOLSFIRST FEDERAL CREDIT UNION,62
Alorica Inc.,61
"Law Office of Michael J. Scott, PC",61
"Collection Bureau of the Hudson Valley, Inc.",60
Debt Co LLC,60
SUN LOAN COMPANY INC.,60
Vericheck,59
"Gurstel Law Firm, P.C.",59
"Capital Management Services, LP",58
"Marlette Funding, LLC",58
"Lloyd & McDaniel, PLC",58
Harley Davidson Financial Services Inc,57
Exto Inc.,56
BANCO POPULAR DE PUERTO RICO,56
"American Profit Recovery, Inc., Marlborough, MA Branch",56
"Pressler & Pressler, LLP",55
Collection Bureau of America Ltd.,55
Mercedes Benz Financial Services,55
"Herbert P. Sears Co., Inc.",55
Hillcrest Davidson & Associates,55
"Blitt and Gaines, P.C.",54
"Omega RMS, LLC",54
"McCarthy, Burgess & Wolff, Inc.",53
COMMERCE BANK,53
HEARTLAND PAYMENT SYSTEMS INC,53
"The Outsource Group, Inc",53
Torriere Holdings INC,52
Creditors Bureau Associates,52
"GLA Collection Company, Inc.",51
AMERICA FIRST FEDERAL CREDIT UNION,51
Frost-Arnett Company,51
AVANTE,51
